Area,Female_23-24_Q3,Male_23-24_Q3,Non_binary_23-24_Q3,Not_known_23-24_Q3,Female_23-24_Q4,Male_23-24_Q4,Non_binary_23-24_Q4,Not_known_23-24_Q4,Female_24-25_Q1,Male_24-25_Q1,Non_binary_24-25_Q1,Not_known_24-25_Q1,Female_24-25_Q2,Male_24-25_Q2,Non_binary_24-25_Q2,Not_known_24-25_Q2,Female_24-25_Q3,Male_24-25_Q3,Non_binary_24-25_Q3,Not_known_24-25_Q3,Female_24-25_Q4,Male_24-25_Q4,Non_binary_24-25_Q4,Not_known_24-25_Q4,Female_25-26_Q1,Male_25-26_Q1,Non_binary_25-26_Q1,Not_known_25-26_Q1,Female_25-26_Q2,Male_25-26_Q2,Non_binary_25-26_Q2,Not_known_25-26_Q2
Barking & Dagenham,4.0,42.0,0.0,0.0,5.0,23.0,0.0,0.0,3.0,38.0,0.0,0.0,4.0,36.0,0.0,0.0,7.0,41.0,0.0,0.0,7.0,37.0,0.0,0.0,2.0,39.0,0.0,0.0,4.0,47.0,0.0,0.0
Barnet,13.0,41.0,0.0,0.0,6.0,66.0,0.0,0.0,12.0,57.0,0.0,1.0,15.0,70.0,0.0,0.0,8.0,43.0,0.0,1.0,9.0,43.0,0.0,0.0,2.0,55.0,0.0,0.0,9.0,53.0,0.0,0.0
Bexley,5.0,44.0,0.0,0.0,2.0,31.0,0.0,1.0,8.0,31.0,0.0,0.0,12.0,40.0,0.0,0.0,7.0,42.0,0.0,0.0,5.0,43.0,0.0,0.0,7.0,37.0,0.0,0.0,9.0,49.0,0.0,0.0
Brent,9.0,132.0,0.0,2.0,14.0,142.0,0.0,2.0,16.0,142.0,0.0,0.0,28.0,186.0,0.0,1.0,17.0,131.0,0.0,1.0,27.0,156.0,0.0,4.0,22.0,158.0,0.0,4.0,34.0,136.0,0.0,6.0
Bromley,1.0,33.0,0.0,0.0,5.0,34.0,0.0,0.0,5.0,46.0,0.0,0.0,11.0,40.0,0.0,1.0,2.0,32.0,0.0,0.0,7.0,33.0,0.0,0.0,8.0,37.0,0.0,0.0,8.0,33.0,0.0,0.0
Camden,69.0,252.0,1.0,8.0,54.0,287.0,0.0,0.0,71.0,237.0,1.0,1.0,72.0,224.0,0.0,2.0,79.0,268.0,1.0,2.0,69.0,266.0,2.0,2.0,69.0,242.0,0.0,0.0,59.0,245.0,3.0,7.0
City of London,18.0,237.0,1.0,23.0,19.0,227.0,1.0,13.0,30.0,248.0,0.0,20.0,18.0,228.0,2.0,15.0,23.0,283.0,0.0,26.0,23.0,225.0,0.0,9.0,29.0,216.0,0.0,14.0,35.0,237.0,0.0,10.0
Croydon,23.0,114.0,0.0,6.0,21.0,102.0,0.0,1.0,22.0,113.0,0.0,2.0,21.0,113.0,0.0,0.0,28.0,122.0,0.0,2.0,24.0,99.0,0.0,1.0,41.0,150.0,0.0,3.0,38.0,113.0,0.0,2.0
Ealing,22.0,269.0,0.0,4.0,24.0,235.0,0.0,0.0,22.0,216.0,0.0,1.0,42.0,223.0,0.0,0.0,24.0,220.0,0.0,0.0,29.0,254.0,0.0,0.0,25.0,179.0,0.0,0.0,28.0,191.0,0.0,3.0
Enfield,6.0,48.0,0.0,0.0,12.0,51.0,0.0,0.0,15.0,56.0,0.0,0.0,11.0,71.0,0.0,1.0,17.0,56.0,0.0,0.0,16.0,52.0,0.0,0.0,10.0,36.0,0.0,0.0,11.0,45.0,0.0,0.0
Greenwich,20.0,114.0,1.0,0.0,23.0,109.0,0.0,2.0,20.0,115.0,0.0,1.0,27.0,133.0,0.0,2.0,22.0,123.0,0.0,2.0,21.0,109.0,0.0,3.0,25.0,122.0,0.0,2.0,30.0,136.0,0.0,1.0
Hackney,11.0,67.0,0.0,3.0,14.0,44.0,0.0,3.0,19.0,67.0,0.0,2.0,24.0,83.0,1.0,5.0,19.0,67.0,0.0,0.0,12.0,47.0,0.0,3.0,10.0,71.0,0.0,2.0,21.0,83.0,0.0,1.0
Hammersmith & Fulham,25.0,135.0,0.0,8.0,16.0,91.0,0.0,6.0,31.0,124.0,1.0,9.0,19.0,139.0,0.0,9.0,24.0,83.0,1.0,10.0,15.0,93.0,1.0,5.0,24.0,96.0,0.0,2.0,26.0,110.0,0.0,5.0
Haringey,13.0,142.0,0.0,1.0,15.0,141.0,0.0,1.0,20.0,145.0,0.0,1.0,17.0,113.0,0.0,1.0,12.0,102.0,0.0,0.0,16.0,94.0,0.0,2.0,20.0,117.0,0.0,0.0,15.0,129.0,0.0,0.0
Harrow,7.0,32.0,0.0,1.0,4.0,30.0,0.0,0.0,3.0,16.0,0.0,0.0,1.0,24.0,0.0,0.0,2.0,25.0,0.0,1.0,4.0,23.0,0.0,1.0,6.0,18.0,0.0,0.0,5.0,16.0,0.0,0.0
Havering,1.0,15.0,0.0,0.0,2.0,14.0,0.0,1.0,3.0,18.0,0.0,0.0,7.0,15.0,0.0,0.0,5.0,9.0,0.0,0.0,3.0,11.0,0.0,0.0,2.0,15.0,0.0,0.0,3.0,18.0,0.0,0.0
Hillingdon,11.0,92.0,0.0,1.0,17.0,101.0,0.0,0.0,12.0,103.0,0.0,3.0,8.0,131.0,0.0,1.0,17.0,150.0,0.0,0.0,14.0,151.0,0.0,0.0,19.0,158.0,0.0,0.0,12.0,120.0,0.0,0.0
Hounslow,33.0,110.0,0.0,1.0,10.0,52.0,0.0,1.0,10.0,67.0,0.0,0.0,13.0,93.0,0.0,0.0,19.0,94.0,0.0,1.0,10.0,93.0,0.0,0.0,20.0,111.0,0.0,1.0,12.0,114.0,0.0,0.0
Islington,21.0,116.0,0.0,9.0,23.0,114.0,0.0,6.0,31.0,128.0,0.0,3.0,38.0,153.0,0.0,6.0,27.0,128.0,0.0,0.0,18.0,117.0,0.0,1.0,30.0,98.0,0.0,3.0,25.0,95.0,1.0,3.0
Kensington & Chelsea,11.0,68.0,1.0,1.0,5.0,70.0,0.0,0.0,5.0,59.0,1.0,0.0,11.0,55.0,1.0,0.0,11.0,70.0,1.0,0.0,12.0,68.0,0.0,1.0,15.0,68.0,0.0,1.0,13.0,76.0,0.0,0.0
Kingston upon Thames,13.0,28.0,0.0,0.0,11.0,22.0,0.0,0.0,10.0,28.0,0.0,0.0,11.0,49.0,0.0,0.0,16.0,44.0,0.0,0.0,12.0,30.0,0.0,0.0,14.0,25.0,0.0,1.0,15.0,42.0,0.0,0.0
Lambeth,24.0,214.0,0.0,4.0,32.0,130.0,0.0,1.0,16.0,124.0,0.0,4.0,29.0,134.0,0.0,2.0,35.0,108.0,0.0,1.0,33.0,112.0,1.0,1.0,36.0,136.0,0.0,6.0,36.0,151.0,0.0,5.0
Lewisham,21.0,86.0,0.0,0.0,25.0,74.0,0.0,0.0,18.0,83.0,0.0,1.0,34.0,79.0,0.0,0.0,19.0,90.0,0.0,1.0,17.0,72.0,0.0,0.0,19.0,97.0,1.0,5.0,24.0,81.0,0.0,1.0
Merton,2.0,18.0,0.0,0.0,0.0,22.0,0.0,0.0,2.0,23.0,0.0,0.0,4.0,18.0,0.0,0.0,1.0,19.0,1.0,0.0,5.0,12.0,0.0,0.0,4.0,13.0,0.0,0.0,3.0,20.0,0.0,0.0
Newham,26.0,149.0,0.0,1.0,14.0,149.0,0.0,0.0,16.0,158.0,0.0,2.0,29.0,167.0,0.0,1.0,25.0,178.0,0.0,1.0,27.0,136.0,0.0,1.0,34.0,129.0,0.0,1.0,28.0,142.0,0.0,1.0
Redbridge,7.0,92.0,0.0,0.0,9.0,79.0,0.0,1.0,4.0,77.0,0.0,0.0,12.0,83.0,0.0,0.0,18.0,89.0,0.0,0.0,13.0,76.0,0.0,1.0,17.0,79.0,0.0,0.0,16.0,90.0,0.0,0.0
Richmond,3.0,30.0,0.0,0.0,1.0,27.0,0.0,1.0,3.0,26.0,0.0,0.0,3.0,33.0,0.0,0.0,3.0,27.0,0.0,2.0,4.0,22.0,0.0,0.0,4.0,20.0,0.0,2.0,4.0,33.0,0.0,0.0
Southwark,26.0,186.0,1.0,5.0,13.0,148.0,0.0,1.0,25.0,168.0,1.0,2.0,34.0,180.0,0.0,1.0,27.0,171.0,0.0,3.0,22.0,167.0,2.0,4.0,28.0,172.0,0.0,0.0,30.0,176.0,0.0,1.0
Sutton,0.0,9.0,0.0,0.0,1.0,11.0,0.0,0.0,4.0,15.0,0.0,0.0,4.0,9.0,0.0,0.0,2.0,7.0,0.0,0.0,1.0,8.0,0.0,0.0,1.0,4.0,0.0,0.0,1.0,13.0,0.0,0.0
Tower Hamlets,14.0,125.0,2.0,6.0,20.0,130.0,2.0,3.0,17.0,128.0,1.0,1.0,23.0,173.0,1.0,1.0,30.0,150.0,1.0,8.0,21.0,151.0,1.0,2.0,28.0,158.0,0.0,6.0,33.0,171.0,1.0,4.0
Waltham Forest,11.0,59.0,0.0,1.0,11.0,53.0,0.0,1.0,14.0,64.0,0.0,0.0,16.0,52.0,0.0,0.0,17.0,72.0,0.0,0.0,22.0,74.0,0.0,0.0,23.0,75.0,0.0,0.0,22.0,63.0,0.0,0.0
Wandsworth,11.0,59.0,0.0,2.0,5.0,59.0,0.0,1.0,7.0,65.0,0.0,2.0,6.0,66.0,0.0,3.0,9.0,49.0,1.0,3.0,9.0,48.0,1.0,0.0,9.0,51.0,0.0,1.0,15.0,60.0,0.0,0.0
Westminster,166.0,549.0,0.0,25.0,156.0,674.0,1.0,19.0,165.0,574.0,0.0,13.0,196.0,740.0,1.0,51.0,214.0,706.0,2.0,23.0,200.0,775.0,0.0,26.0,184.0,679.0,1.0,15.0,239.0,800.0,2.0,12.0
